branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,intel 2019.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/537dce143b8c96e7a2defa801509fd756a5d1027/develop/acorn/intel/2019.3/O/mpi/8.1.7),2022-03-16 01:32:13 +0000
develop,acorn,intel 2019.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3b9267f1f9cad42eeab91d03553da98f527f5ae4/develop/acorn/intel/2019.3/g/mpi/8.1.7),2022-03-16 01:33:37 +0000
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e1afb8c91d1840a00c91cbccc40da82d2588449c/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-03-17 01:54:29 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/680cef27b6d7859154643d844e3568fe316cd363/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-03-17 02:49:00 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/989f7566da40501164dd6bafbd28decf8be05774/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-03-17 02:23:43 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/937860b542be2c8ea459d461f42589bbbfa7ca38/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-03-17 03:18:55 -0400
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,O,Unicos,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/86fde0db4c0af4ca3a993e5d0736a0b535980c94/develop/cori/intel/19.0.3/O/mpi/7.7.10),2022-03-17 03:58:16 -0700
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,g,Unicos,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aaa4e606c1db6ed7060c62e6da1dc3b0e101b2ac/develop/cori/intel/19.0.3/g/mpi/7.7.10),2022-03-17 04:16:49 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0b03337ac5c739401a85a06a1dda5cca9d880ff9/develop/cori/intel/19.0.3/O/mpiuni/none),2022-03-17 03:37:02 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5d138b07498b7e1062b213c0ea225f147aae103d/develop/cori/intel/19.0.3/g/mpiuni/none),2022-03-17 03:51:35 -0700
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67639d3a938463bde26b682ab6774bcff315b3aa/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-17 01:43:43 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c4a1f11244c039bcd456432a0811f86db101e6a/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-17 01:55:22 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d87d99e5d5859ebb99168624872fa03eec01ee2c/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-17 01:52:02 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5873dc6a136714f1a3a90296b0746d1e7950b8c8/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-17 01:44:57 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b2a128b7fdb65c97530d54e5090af0c0addd13c4/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-17 01:34:02 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67639d3a938463bde26b682ab6774bcff315b3aa/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-17 01:43:43 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c4a1f11244c039bcd456432a0811f86db101e6a/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-03-17 01:55:22 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/723b238be81d84c5c792bdbc25a0e18fc2953506/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-03-17 02:02:12 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9aaba50e7ebddfbadf0cf2b6ddad2d202a0040ae/develop/discover/intel/19.1.3/O/mpt/2.17),2022-03-17 01:46:05 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/558eb2fbb1e2dc3675bd89a26ef523d1199a14c0/develop/discover/intel/19.1.3/g/mpt/2.17),2022-03-17 01:53:41 -0400
develop,discover,pgi 2020,mpiuni none,N/A N/A,O,Linux,pass,11120,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9e6002c2f51220f777412b45e2e54f1a30233cc4/develop/discover/pgi/2020/O/mpiuni/none),2022-03-17 02:56:10 -0400
develop,discover,pgi 2020,mpiuni none,N/A N/A,g,Linux,pass,11120,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e4c2d4ddef3d611de83eaefc8ab8d272fb43af6a/develop/discover/pgi/2020/g/mpiuni/none),2022-03-17 03:28:15 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13268,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/17b7a91f4d7d4ac5b1dde9d2d1a8c4b9146087ae/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-03-17 03:07:30 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/39c051dcabd3e7f61980b4ffe0f16a6e226bf839/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-03-17 01:39:15 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/87c817b3213dea36cdbeec3139f5d08dc2b0bf91/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-03-17 02:45:28 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13254,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/25c9b5690f512d367eaa717fedb1899824912509/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-03-17 02:02:39 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13254,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1092f4257a7b8331a5b38264283b3cc459b45063/develop/gaea/intel/2019.5/g/mpi/7.7.11),2022-03-17 02:35:06 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/635f4a6e50dd4c7b443dc48d6d5f83d444777b86/develop/gaea/intel/2019.5/g/mpiuni/none),2022-03-17 02:13:00 -0400
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f19ed14d94b7cb903b4ff35580b4153664ae54ea/develop/orion/gfortran/8.3.0/O/mpiuni/none),2022-03-17 03:03:45 -0500
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/834fefaaa1554b2fdf2c9a5404e7cb4ea78a020d/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-17 03:13:36 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b73258ceec45c6e339821a49b3bbdf1094d68f8a/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-17 03:09:17 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/599031f0cf042bfb01f5588c7e0dbf8a2732856d/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-17 03:14:17 -0500
develop,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/25a9f7fe99e520e97c8aad482909a235f1c66c66/develop/orion/intel/2020/O/intelmpi/2020.2),2022-03-17 06:51:44 -0500
develop,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0a273413761eae7524475852f9b6ce19af94e665/develop/orion/intel/2020/g/intelmpi/2020.2),2022-03-17 06:49:17 -0500
